------------------------------------------------------------
Client connecting to 10.0.0.3, TCP port 5000 with pid 140469
Write buffer size:  128 KByte
TCP window size:  128 KByte (default)
------------------------------------------------------------
[  3] local 10.0.0.1 port 45610 connected with 10.0.0.3 port 5000 (ct=129.75 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  3] 0.0000-1.0000 sec  7.62 MBytes  64.0 Mbits/sec  61/0          0       28K/96937 us  82.48
[  3] 1.0000-2.0000 sec  3.85 MBytes  32.3 Mbits/sec  32/0        112      535K/65404 us  61.67
[  3] 2.0000-3.0000 sec  3.48 MBytes  29.2 Mbits/sec  28/0          0      449K/65752 us  55.50
[  3] 3.0000-4.0000 sec  3.42 MBytes  28.7 Mbits/sec  28/0          0      453K/78786 us  45.49
[  3] 4.0000-5.0000 sec  3.60 MBytes  30.2 Mbits/sec  30/0          0      452K/87027 us  43.43
[  3] 5.0000-6.0000 sec  1.55 MBytes  13.0 Mbits/sec  13/0          0      514K/60632 us  26.87
[  3] 6.0000-7.0000 sec  3.42 MBytes  28.7 Mbits/sec  28/0          0      449K/85742 us  41.80
[  3] 7.0000-8.0000 sec  3.60 MBytes  30.2 Mbits/sec  30/0          0      452K/86896 us  43.49
[  3] 8.0000-9.0000 sec  3.67 MBytes  30.8 Mbits/sec  30/0          0      463K/87347 us  44.01
[  3] 9.0000-10.0000 sec  3.60 MBytes  30.2 Mbits/sec  29/0          0      499K/91330 us  41.38
[  3] 10.0000-11.0000 sec  3.79 MBytes  31.8 Mbits/sec  31/0          0      469K/93198 us  42.65
[  3] 11.0000-12.0000 sec  3.23 MBytes  27.1 Mbits/sec  26/0          0      468K/87514 us  38.72
[  3] 12.0000-13.0000 sec  3.73 MBytes  31.3 Mbits/sec  30/0          0      469K/93129 us  41.98
[  3] 13.0000-14.0000 sec  3.43 MBytes  28.7 Mbits/sec  28/0          0      496K/82183 us  43.72
[  3] 14.0000-15.0000 sec  3.91 MBytes  32.8 Mbits/sec  32/0         14      386K/93848 us  43.65
[  3] 15.0000-16.0000 sec  3.85 MBytes  32.3 Mbits/sec  32/0          0      386K/97146 us  41.59
[  3] 16.0000-17.0000 sec  3.05 MBytes  25.6 Mbits/sec  25/0          0      490K/77201 us  41.48
[  3] 17.0000-18.0000 sec  3.84 MBytes  32.2 Mbits/sec  31/0          6      387K/97254 us  41.44
[  3] 18.0000-19.0000 sec  3.49 MBytes  29.3 Mbits/sec  28/0          6      381K/95871 us  38.16
[  3] 19.0000-20.0000 sec  3.29 MBytes  27.6 Mbits/sec  27/0         16      530K/72202 us  47.81
[  3] 20.0000-21.0000 sec  4.09 MBytes  34.3 Mbits/sec  33/0         42      395K/97218 us  44.16
[  3] 21.0000-22.0000 sec  3.36 MBytes  28.1 Mbits/sec  27/0          9      117K/96402 us  36.50
[  3] 22.0000-23.0000 sec  3.98 MBytes  33.4 Mbits/sec  33/0         20      405K/96204 us  43.35
[  3] 23.0000-24.0000 sec  3.91 MBytes  32.8 Mbits/sec  32/0          8      398K/97092 us  42.28
[  3] 24.0000-25.0000 sec  4.04 MBytes  33.9 Mbits/sec  33/0         18      337K/67561 us  62.69
[  3] 25.0000-26.0000 sec  3.91 MBytes  32.8 Mbits/sec  32/0          0      337K/67721 us  60.62
[  3] 26.0000-27.0000 sec  3.42 MBytes  28.7 Mbits/sec  28/0          0      337K/77724 us  46.11
[  3] 27.0000-28.0000 sec  3.91 MBytes  32.8 Mbits/sec  32/0          0      337K/85153 us  48.21
[  3] 28.0000-29.0000 sec  3.91 MBytes  32.8 Mbits/sec  32/0          0      337K/85258 us  48.15
[  3] 29.0000-30.0000 sec  3.98 MBytes  33.4 Mbits/sec  33/0          0      395K/89035 us  46.84
[  3] 0.0000-30.2708 sec   112 MBytes  31.0 Mbits/sec  914/0        251       -1K/85158 us  45.54
